Title,Duration(in_mins),Rating,Votes,Genre
Kraven the Hunter,127,5.4,44000.0,Action
Gladiator II,148,6.6,216000.0,Action
Sonic the Hedgehog 3,110,6.9,52000.0,Action
Venom: The Last Dance,110,6.0,107000.0,Action
Dune: Part Two,166,8.5,612000.0,Action
Pushpa: The Rule - Part 2,201,6.1,54000.0,Action
William Tell,133,5.8,1700.0,Action
Elevation,91,5.6,19000.0,Action
The Lord of the Rings: The War of the Rohirrim,134,6.3,28000.0,Action
The Ministry of Ungentlemanly Warfare,122,6.8,132000.0,Action
Furiosa: A Mad Max Saga,148,7.5,280000.0,Action
Deadpool & Wolverine,128,7.6,480000.0,Action
Borderlands,101,4.7,45000.0,Action
Hellboy: The Crooked Man,99,4.5,12000.0,Action
Twisters,122,6.5,160000.0,Action
Civil War,109,7.0,232000.0,Action
Old Guy,94,5.1,1700.0,Action
The Count of Monte-Cristo,178,7.6,32000.0,Action
The Beekeeper,105,6.3,153000.0,Action
Carry-On,119,6.5,159000.0,Action
Marco,145,6.9,20000.0,Action
The Fall Guy,126,6.8,216000.0,Action
Rebel Ridge,131,6.8,86000.0,Action
Homestead,112,5.4,3300.0,Action
The Crow,111,4.7,32000.0,Action
Thelma,98,7.0,21000.0,Action
Kingdom of the Planet of the Apes,145,6.9,149000.0,Action
Road House,121,6.2,166000.0,Action
Red One,123,6.3,137000.0,Action
Transformers One,104,7.6,47000.0,Action
Solo Leveling: ReAwakening,121,8.7,6800.0,Action
Bad Boys: Ride or Die,115,6.5,98000.0,Action
Love Lies Bleeding,104,6.6,56000.0,Action
Damsel,110,6.1,108000.0,Action
Land of Bad,113,6.6,50000.0,Action
The Killer's Game,104,5.7,16000.0,Action
Argylle,139,5.6,91000.0,Action
Madame Web,116,4.0,99000.0,Action
Godzilla x Kong: The New Empire,115,6.1,119000.0,Action
Dirty Angels,104,4.3,3100.0,Action
The Union,107,5.4,52000.0,Action
Monkey Man,121,6.8,90000.0,Action
Aftermath,97,5.1,3400.0,Action
Azrael,86,5.4,10000.0,Action
Freaky Tales,106,6.5,365.0,Action
Attack on Titan the Movie: The Last Attack,145,9.3,14000.0,Action
Drive-Away Dolls,84,5.4,23000.0,Action
Werewolves,93,4.4,6000.0,Action
Uglies,100,4.7,32000.0,Action
Kung Fu Panda 4,94,6.3,67000.0,Action
Absolution,112,5.2,7400.0,Action
Arcadian,92,5.5,22000.0,Action
Blitz,120,6.2,16000.0,Action
The Instigators,101,6.2,37000.0,Action
Lift,107,5.5,49000.0,Action
Beverly Hills Cop: Axel F,118,6.4,80000.0,Action
The Killer,126,5.7,12000.0,Action
Hitpig,86,5.1,829.0,Action
Apocalypse Z: The Beginning of the End,117,6.1,19000.0,Action
The Silent Hour,99,6.1,7000.0,Action
Maharaja,141,8.4,65000.0,Action
Classified,105,3.6,2200.0,Action
Kalki 2898 AD,180,7.0,66000.0,Action
Descendants: The Rise of Red,91,4.7,6900.0,Action
Brothers,89,5.4,13000.0,Action
Atlas,118,5.6,55000.0,Action
Canary Black,101,5.4,11000.0,Action
Baby John,159,5.4,17000.0,Action
Survive,90,4.6,2100.0,Action
Long Gone Heroes,101,5.2,969.0,Action
Weekend in Taipei,100,5.7,4400.0,Action
Watchmen: Chapter I,83,7.0,6300.0,Action
Rebel Moon - Part Two: The Scargiver,122,5.3,59000.0,Action
Gunner,106,3.2,2300.0,Action
Hagen,139,6.1,1000.0,Action
Jackpot!,106,5.8,30000.0,Action
Cash Out,92,4.8,2800.0,Action
Under Paris,104,5.2,36000.0,Action
Levels,93,5.0,1400.0,Action
Dominique,100,5.3,2100.0,Action
The Shadow Strays,144,6.5,8900.0,Action
Armor,89,3.5,3600.0,Action
Trigger Warning,106,4.6,19000.0,Action
Agents,82,3.7,889.0,Action
Twilight of the Warriors: Walled In,126,7.0,8900.0,Action
Aavesham,155,7.8,27000.0,Action
Hounds of War,95,4.5,1700.0,Action
Boneyard,96,4.1,4800.0,Action
Jacob Tyler,133,4.8,44.0,Action
Chief of Station,97,4.7,4400.0,Action
Take Cover,90,5.1,2300.0,Action
No Way Up,90,4.6,10000.0,Action
Agent Recon,85,2.4,658.0,Action
Red Right Hand,111,5.5,5800.0,Action
11 Rebels,155,6.2,262.0,Action
Watchmen: Chapter II,90,7.0,2800.0,Action
Megamind vs. The Doom Syndicate,83,2.5,5500.0,Action
Sunray: Fallen Soldier,115,4.3,583.0,Action
Night Call,97,6.8,1700.0,Action
Singham Again,144,4.8,75000.0,Action
Damaged,97,4.7,7100.0,Action
Amaran,167,8.2,18000.0,Action
Role Play,100,5.5,19000.0,Action
Vanvaas,160,6.7,1100.0,Action
Trouble,98,6.2,6600.0,Action
Echo 8,96,4.0,171.0,Action
Rifle Club,113,7.0,4000.0,Action
Dark Match,94,5.5,831.0,Action
"I, the Executioner",118,6.3,1600.0,Action
Prey,86,3.7,3200.0,Action
Code 8: Part II,100,5.7,16000.0,Action
My Hero Academia: You're Next,110,7.0,1900.0,Action
Justice League: Crisis on Infinite Earths - Part One,93,6.2,8300.0,Action
City Hunter,102,6.3,5500.0,Action
Uprising,126,6.6,5300.0,Action
River of Blood,86,5.4,1500.0,Action
My Spy: The Eternal City,112,5.7,11000.0,Action
Duchess,114,4.6,1200.0,Action
Harbin,108,6.5,485.0,Action
Max,132,7.1,3200.0,Action
Badland Hunters,107,5.9,12000.0,Action
The Courier,101,6.0,4300.0,Action
Justice League: Crisis on Infinite Earths - Part Three,94,6.1,4300.0,Action
The Tiger's Apprentice,84,5.7,2100.0,Action
Sikandar Ka Muqaddar,142,6.0,24000.0,Action
Drive Back,94,4.7,287.0,Action
The Lost Tiger,90,7.8,34.0,Action
The Price of Money: A Largo Winch Adventure,100,5.1,1100.0,Action
The Fix,98,4.6,1100.0,Action
Joe Baby,86,8.2,26.0,Action
The Roundup: Punishment,109,6.6,5100.0,Action
One More Shot,103,5.4,3600.0,Action
Arena Wars,96,4.9,2000.0,Action
Mafia Wars,94,3.4,212.0,Action
Raayan,145,6.5,11000.0,Action
Elyas,105,6.1,1300.0,Action
Fighter,166,6.2,52000.0,Action
Striking Rescue,106,5.7,342.0,Action
Lights Out,90,4.9,1700.0,Action
Article 370,158,7.8,24000.0,Action
Devara Part 1,176,6.0,20000.0,Action
200% Wolf,98,6.0,1300.0,Action
Officer Black Belt,108,6.8,7900.0,Action
Simarik,111,6.4,2300.0,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,104,7.1,8300.0,Action
Air Force One Down,84,4.4,2800.0,Action
The Wages of Fear,104,4.6,4000.0,Action
The Prosecutor,117,6.8,1400.0,Action
Kill Em All 2,88,4.1,1300.0,Action
The Quiet Ones,110,6.5,523.0,Action
Khadaan,137,7.4,2000.0,Action
Darkness of Man,109,4.8,3100.0,Action
Operation Blood Hunt,93,3.4,455.0,Action
Rats!,85,8.0,77.0,Action
Ultraman: Rising,117,6.9,6200.0,Action
Jigra,153,6.0,23000.0,Action
One Fast Move,108,5.0,2200.0,Action
Angels Fallen: Warriors of Peace,103,4.9,5800.0,Action
The Last Kumite,105,4.6,2300.0,Action
Murder Company,86,3.7,1500.0,Action
Panda Plan,99,5.1,1100.0,Action
Karma,167,8.1,1400.0,Action
Bougainvillea,138,6.4,3000.0,Action
Golden Kamuy,127,6.3,2500.0,Action
Cloud,123,6.3,896.0,Action
Pani,143,6.9,2800.0,Action
Utopia,91,3.6,340.0,Action
Latency,94,4.2,1700.0,Action
Murder at Hollow Creek,70,4.2,78.0,Action
The Thundermans Return,110,5.0,1800.0,Action
Death Whisperer 2,83,6.4,1300.0,Action
Dan Da Dan: First Encounter,135,8.2,2600.0,Action
Everybody Loves Jenifa,94,8.4,78.0,Action
Justice League: Crisis on Infinite Earths - Part Two,136,5.5,5200.0,Action
Sucha Soorma,110,6.5,908.0,Action
Freedom,106,5.9,1300.0,Action
WWII: Operation Phoenix,84,6.6,63.0,Action
Anaconda,159,4.9,601.0,Action
The Family Star,78,5.4,5400.0,Action
My Fathers' Daughter,92,6.6,71.0,Action
Die Hart 2: Die Harter,126,4.3,5400.0,Action
Life After Fighting,158,6.4,1900.0,Action
Hanu Man,94,7.7,29000.0,Action
Ferry 2,96,5.6,3700.0,Action
Wynonna Earp: Vengeance,97,5.6,1500.0,Action
Fight Another Day,85,5.1,326.0,Action
Wanted Man,100,4.8,2500.0,Action
Hijack 1971,88,6.8,3200.0,Action
Terminator: Skynet Rising,183,6.8,258.0,Action
The Greatest of All Time,86,5.7,22000.0,Action
Alien: Rubicon,88,2.4,329.0,Action
Zero,166,6.1,38.0,Action
Saripodhaa Sanivaaram,95,7.0,8900.0,Action
The Clean Up Crew,88,4.1,1100.0,Action
Sixty Minutes,94,5.7,5100.0,Action
Escape,166,6.4,1900.0,Action
Razakar: The Silent Genocide of Hyderabad,82,7.4,5300.0,Action
Outlaw,170,5.2,902.0,Action
Viduthalai Part 2,114,8.0,15000.0,Action
Revolver,88,5.4,819.0,Action
Snow White and the Seven Samurai,96,3.2,263.0,Action
The Ballad of Davy Crockett,92,4.6,246.0,Action
The Hangman,126,3.3,986.0,Action
Savi,122,6.2,35000.0,Action
Agni,78,7.3,15000.0,Action
Spiders on a Plane,113,5.7,360.0,Action
"Love, Courage and the Battle of Bushy Run",129,5.0,173.0,Action
A Legend,152,4.7,855.0,Action
Kanguva,80,4.5,14000.0,Action
Baby Invasion,101,5.8,63.0,Action
Handsome Guys,87,6.5,751.0,Action
72 Hours,109,4.1,280.0,Action
Cells at Work!,86,6.8,168.0,Action
The Slave and the Sorcerer,105,6.7,37.0,Action
Heart of the Hunter,158,4.7,2100.0,Action
Bagheera,142,6.7,7300.0,Action
Chandu Champion,98,7.8,34000.0,Action
The Last Front,109,5.5,599.0,Action
London Calling,117,7.5,17.0,Action
The Lockdown,163,4.3,595.0,Action
Vettaiyan,113,7.0,39000.0,Action
Cassino in Ischia,145,4.4,229.0,Action
Vedaa,113,6.0,4200.0,Action
40 Acres,135,6.5,101.0,Action
Overlord: The Sacred Kingdom,92,7.0,699.0,Action
Nice Girls,90,4.2,1200.0,Action
Roadkill,100,3.6,672.0,Action
Crosspoint,150,7.3,26.0,Action
A.R.M,81,7.1,8500.0,Action
Don't Mess with Grandma,100,6.1,144.0,Action
GTMax,91,5.0,1200.0,Action
Invasion,88,4.8,664.0,Action
Get Fast,115,3.6,435.0,Action
Big Rage,129,3.6,153.0,Action
Mura,131,7.3,6200.0,Action
Alangu,116,8.3,1200.0,Action
Black Creek,96,3.6,275.0,Action
12 to Midnight,87,5.4,1200.0,Action
Non Negotiable,84,3.0,177.0,Action
War of the Worlds: Extinction,105,6.1,2500.0,Action
Mission: Cross,88,6.6,4100.0,Action
How to Rob a Bank,136,6.7,408.0,Action
Cesium Fallout,174,8.2,651.0,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,121,4.9,225.0,Action
The Last Ronin,145,7.1,6100.0,Action
Toofan,147,6.3,863.0,Action
12 Gaun,88,3.5,533.0,Action
Continental Split,93,8.9,73.0,Action
Black Heat,159,5.4,25000.0,Action
Guntur Kaaram,90,5.4,777.0,Action
Devil's Knight,156,6.6,6500.0,Action
Thangalaan,86,2.5,314.0,Action
The Twisters,163,3.8,39000.0,Action
Bade Miyan Chote Miyan,110,4.3,1700.0,Action
Bionic,129,6.9,3600.0,Action
Yolo,119,5.8,504.0,Action
High Forces,105,5.9,297.0,Action
School of Magical Animals 3,64,6.3,13.0,Action
The Last of Us: Immunity,145,7.1,1200.0,Action
Kingdom 4: Return of the Great General,140,8.3,3900.0,Action
Bachhala Malli,154,4.7,6500.0,Action
Crakk: Jeetega... Toh Jiyegaa,135,6.9,5600.0,Action
UI,98,6.5,811.0,Action
Escape from the 21st Century,80,3.0,307.0,Action
Taken from Rio Bravo,146,7.4,1300.0,Action
Sector 17,108,5.1,201.0,Action
Diabel,101,4.0,304.0,Action
Art of Eight Limbs,90,6.5,482.0,Action
Eye for an Eye 2,101,6.1,650.0,Action
The Charisma Killers,121,5.6,538.0,Action
Pimpinero: Blood and Oil,130,5.7,8800.0,Action
Yodha,80,1.8,643.0,Action
Ryan's World the Movie: Titan Universe Adventure,106,5.7,815.0,Action
Dreams,132,6.1,112.0,Action
Je Jatt Vigarh Gya,90,7.4,169.0,Action
Blade of Fury,115,8.1,15.0,Action
Ka Whawhai Tonu,101,5.4,786.0,Action
The Friendly,154,5.8,149.0,Action
Dange,106,6.5,2500.0,Action
The Firefighters,122,5.6,506.0,Action
Alienoid: The Return to the Future,109,6.9,77.0,Action
Hunting with Tigers,83,8.9,2700.0,Action
Paradise,128,5.9,414.0,Action
Devaki Nandana Vasudeva,90,4.3,489.0,Action
Deaner '89,103,9.2,46.0,Action
Hellhound,80,6.6,40000.0,Action
Bloodline,150,8.7,572.0,Action
Auron Mein Kahan Dum Tha,94,3.4,247.0,Action
Reapers,129,6.4,1000.0,Action
Shark Warning,90,5.5,72.0,Action
Jathara,101,4.9,207.0,Action
Nothing Even Matters,81,6.4,435.0,Action
Snatched,81,5.7,76.0,Action
No Time to Spy: A Loud House Movie,110,4.6,355.0,Action
Memes & Nightmares,110,6.5,321.0,Action
Operation Undead,80,5.2,21.0,Action
Fyre Rises,150,3.6,5200.0,Action
Witch Hunter,123,4.1,503.0,Action
Mr. Bachchan,147,2.3,36000.0,Action
Bureau 749,155,7.1,25.0,Action
Martin,122,6.0,4000.0,Action
The Unbreakable Bunch,120,8.0,551.0,Action
Ayalaan,142,6.7,691.0,Action
Rajakili,103,6.2,17.0,Action
Crisis Negotiators,85,5.0,13000.0,Action
Timuchin,138,7.3,269.0,Action
Yudhra,128,6.3,95.0,Action
Baby Assassins: Nice Days,137,6.6,1300.0,Action
Bangkok Dog,66,3.3,722.0,Action
Sorgavaasal,159,6.6,3400.0,Action
The Actor,83,2.0,168.0,Action
Tillu Square,164,5.9,4900.0,Action
Mummy Shark,72,6.5,31.0,Action
Eagle,115,8.0,3200.0,Action
Orang Ikan,133,5.2,449.0,Action
Zebra,148,5.4,462.0,Action
S.T.A.L.K.E.R.: Shadow of the Zone,101,4.9,914.0,Action
Customs Frontline,115,7.9,85.0,Action
Rogue Elements: A Ryan Drake Story,95,8.3,2700.0,Action
The Kingdom,100,3.6,361.0,Action
Pottel,134,5.0,17.0,Action
Lady Scorpions,99,8.6,1700.0,Action
The Legend Hunters,124,5.0,107.0,Action
Fighting the Fire,143,2.3,161.0,Action
Team of Two,120,5.1,251.0,Action
Ballistic,154,7.5,185.0,Action
(Pri)sons,107,3.6,242.0,Action
Xiong Shi Shao Nian 2,133,6.6,923.0,Action
Rendel: Cycle of Revenge,83,3.9,16000.0,Action
Mobile Suit Gundam SEED Freedom,96,5.5,232.0,Action
Indian 2,155,6.7,495.0,Action
Gandhi 3,75,6.4,2900.0,Action
Conquer: Lahad Datu,62,6.5,58.0,Action
Siren,120,7.1,3300.0,Action
Raqa,168,2.0,349.0,Action
Garudan,137,8.1,185.0,Action
Road Wars: Max Fury,87,8.0,1000.0,Action
Clone Cops,102,3.5,943.0,Action
Reloaded 2,120,6.1,68.0,Action
Barroz: Guardian of Treasures,146,5.7,1900.0,Action
Kuang Bao Ju Xi,65,5.2,30.0,Action
Baki Hanma VS Kengan Ashura,113,6.6,421.0,Action
Abudeka Is Back,90,3.8,340.0,Action
Rode College,155,2.7,128.0,Action
Buddy,85,7.0,442.0,Action
Ape X Mecha Ape: New World Order,81,5.2,298.0,Action
Kahar: Kapla High Council,100,5.8,652.0,Action
Aserb: The Squadron,90,7.4,60.0,Action
Bangkok Breaking: Heaven and Hell,96,5.9,141.0,Action
Hotel Underground,135,4.5,217.0,Action
Kamen Rider 555 20th: Paradise Regained,144,6.0,27.0,Action
Bonus Trip,150,5.9,3500.0,Action
Stranded Pearl,128,7.0,67.0,Action
Turbo,133,3.3,145.0,Action
Exorcism Chronicles: The Beginning,99,5.9,139.0,Action
Ghosts of Red Ridge,156,5.7,312.0,Action
Desperado,126,5.0,75.0,Action
Drive,99,6.2,747.0,Action
The Mick and the Trick,133,5.9,1700.0,Action
Love You to Debt,93,4.8,7400.0,Action
Mission: Chapter 1,136,7.3,1100.0,Action
Bhaiyya Ji,88,6.9,1100.0,Action
Premalo,88,2.3,361.0,Action
Sheriff,174,6.5,3400.0,Action
Kill Craft,99,6.6,1000.0,Action
Mechanic Rocky,181,4.4,187.0,Action
Anchakkallakokkan,157,5.3,1400.0,Action
The Miranda Brothers,98,4.6,228.0,Action
Operation Valentine,70,6.4,274.0,Action
Prepare to Die,136,6.2,530.0,Action
Naam,98,4.4,252.0,Action
Big City Greens the Movie: Spacecation,150,6.1,387.0,Action
Sayen: The Huntress,110,2.8,293.0,Action
Neon Fear,155,8.8,144.0,Action
Ship of the Damned,148,4.8,745.0,Action
Rang De Basanti,120,7.1,830.0,Action
The Infallibles,172,6.5,8600.0,Action
